epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,5104.74,1.01965,2.16147,0.85812,1.25868,0.43894,0.39401,0.38754,0.23064,0.38822,0.36539,0.33587,0.19616,1.61781,2.76057,1.72865,1.68868,0.00040505,0.00040505,0.00040505
30,5281.87,1.04002,2.14385,0.89139,1.25516,0.44048,0.44299,0.41755,0.25339,0.65525,0.34346,0.36591,0.20837,1.49793,2.79609,1.64999,1.58261,0.000387052,0.000387052,0.000387052
31,5458.29,1.00057,2.14422,0.87214,1.23984,0.6996,0.34969,0.41954,0.26248,0.60708,0.34025,0.37282,0.22493,1.39153,2.6655,1.64571,1.49611,0.000369054,0.000369054,0.000369054
32,5634.71,0.97754,2.14819,0.83159,1.22028,0.51926,0.414,0.4256,0.27216,0.5737,0.34252,0.37573,0.23186,1.3566,2.67522,1.63815,1.46529,0.000351056,0.000351056,0.000351056
33,5812.61,1.01222,2.17442,0.84316,1.25582,0.61917,0.38938,0.4137,0.27349,0.65114,0.34906,0.37516,0.23739,1.28291,2.63895,1.67824,1.40941,0.000333058,0.000333058,0.000333058
34,5990.12,1.03747,2.24414,0.84272,1.24951,0.54041,0.41248,0.39951,0.26842,0.54548,0.35943,0.36499,0.22955,1.33445,2.77024,1.67319,1.46473,0.000315059,0.000315059,0.000315059
35,6166.44,0.99405,2.15879,0.83394,1.27128,0.4015,0.36229,0.37551,0.24977,0.32987,0.35181,0.33788,0.21454,1.40821,2.80563,1.73828,1.55919,0.000297061,0.000297061,0.000297061
36,6344.03,0.94175,2.03617,0.7636,1.19871,0.43425,0.38333,0.3759,0.24223,0.46795,0.31485,0.32865,0.20983,1.37575,2.69772,1.79149,1.55069,0.000279063,0.000279063,0.000279063
37,6521.33,1.0798,2.2594,0.85344,1.26473,0.4563,0.39262,0.39763,0.26094,0.53736,0.34297,0.36174,0.22233,1.35171,2.61432,1.72521,1.53103,0.000261065,0.000261065,0.000261065
38,6698.52,0.96299,2.10147,0.77252,1.21696,0.42684,0.41202,0.41159,0.26359,0.54595,0.3592,0.38454,0.23498,1.41265,2.60271,1.63925,1.58062,0.000243067,0.000243067,0.000243067
39,6876.56,1.02287,2.13932,0.85884,1.25867,0.41211,0.4343,0.40621,0.25321,0.66553,0.35285,0.38813,0.22169,1.43895,2.60098,1.62912,1.6041,0.000225068,0.000225068,0.000225068
40,7053.39,0.9365,2.04297,0.75191,1.21711,0.35058,0.45079,0.39818,0.24903,0.38232,0.41871,0.38733,0.2189,1.43708,2.63431,1.69953,1.5925,0.00020707,0.00020707,0.00020707
41,7226.73,1.00018,2.21271,0.90602,1.30764,0.35331,0.41122,0.3841,0.24608,0.37405,0.39655,0.36952,0.21169,1.40367,2.58682,1.80457,1.53873,0.000189072,0.000189072,0.000189072
42,7399.91,0.92527,1.94484,0.77489,1.2478,0.37256,0.41293,0.39252,0.24143,0.37619,0.38617,0.36619,0.20744,1.39231,2.62347,1.84178,1.52747,0.000171074,0.000171074,0.000171074
43,7572.78,0.94462,2.06966,0.78766,1.26275,0.38536,0.34966,0.38311,0.24233,0.39717,0.35817,0.36776,0.21869,1.40403,2.66396,1.82147,1.52785,0.000153076,0.000153076,0.000153076
44,7745.87,1.01699,2.27047,0.92016,1.34091,0.43122,0.34478,0.38375,0.23716,0.46116,0.34887,0.35627,0.21158,1.40967,2.69868,1.83915,1.55355,0.000135077,0.000135077,0.000135077
45,7918.42,0.88397,1.84153,0.74416,1.2608,0.47036,0.34478,0.3869,0.24464,0.44128,0.33667,0.33942,0.21249,1.40703,2.71136,1.828,1.55247,0.000117079,0.000117079,0.000117079
46,8091.91,0.80883,1.79577,0.65412,1.16028,0.39419,0.3781,0.40536,0.24707,0.52165,0.35998,0.37743,0.22231,1.36811,2.70083,1.83233,1.53179,9.9081e-05,9.9081e-05,9.9081e-05
47,8264.79,0.94975,2.06495,0.93425,1.30165,0.4707,0.33604,0.4169,0.26553,0.47134,0.34807,0.39114,0.23045,1.33247,2.72309,1.82115,1.52214,8.10828e-05,8.10828e-05,8.10828e-05
48,8437.64,0.85323,1.8155,0.69939,1.18251,0.39551,0.38291,0.40878,0.25981,0.52824,0.36383,0.41269,0.23225,1.32173,2.69639,1.78703,1.51413,6.30846e-05,6.30846e-05,6.30846e-05
49,8611.22,0.84667,1.89081,0.67868,1.19763,0.41216,0.36118,0.40556,0.26148,0.52071,0.3568,0.38815,0.23038,1.33471,2.65794,1.77721,1.51802,4.50864e-05,4.50864e-05,4.50864e-05
50,8786.33,1.00881,2.13954,0.79428,1.2703,0.44587,0.34184,0.40901,0.2601,0.52525,0.3568,0.38849,0.23181,1.34505,2.66925,1.77727,1.5289,2.70882e-05,2.70882e-05,2.70882e-05
